MC,Reactants,Reagents,Products,uspto_split
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,O=C(OCc1ccccc1)C(Cc1ccccc1)CS(=O)(=O)Cl.O=C1CNCCN1,,O=C1CN(S(=O)(=O)CC(Cc2ccccc2)C(=O)OCc2ccccc2)CCN1,train
DCC_condensation,O=C(O)COc1cccc2c1B(O)OC2.NCCOCc1ccccc1,C(=NC1CCCCC1)=NC1CCCCC1,O=C(COc1cccc2c1B(O)OC2)NCCOCc1ccccc1,train
Boc_deprotection,CC(C)(C)OC(=O)N1CCOC(C(O)CO)C(c2ccc(Cl)c(Cl)c2)C1,[H+],OCC(O)C1OCCNCC1c1ccc(Cl)c(Cl)c1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,O=S(=O)(Cl)c1ccc(F)cc1.CCOC(=O)CN,,CCOC(=O)CNS(=O)(=O)c1ccc(F)cc1,train
SN2,O=c1[nH]c(-c2ccccc2N2CCNCC2)cc2ccc(N3CCCC(O)C3)cc12.CI,,CN1CCN(c2ccccc2-c2cc3ccc(N4CCCC(O)C4)cc3c(=O)[nH]2)CC1,train
SN2_alcohol(thiol),Oc1ccccc1O.ClCC1CC1,[H-].[Na+],Oc1ccccc1OCC1CC1,train
SN2_alcohol(thiol),BrCCCCCCCCCOC1CCCCO1.OCCc1ccccc1,[H-].[Na+],c1ccc(CCOCCCCCCCCCOC2CCCCO2)cc1,train
O_demethylation,COc1ccc(Cc2cccnc2)cc1I,BrB(Br)Br.O,Oc1ccc(Cc2cccnc2)cc1I,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Cc1cncc(N)n1.O=C(Br)CBr,,Cc1cncc(NC(=O)CBr)n1,train
imine_formation,CSc1ccc(N)cn1.O=Cc1ccccc1,[H+],CSc1ccc(N=Cc2ccccc2)cn1,train
O_demethylation,COc1nc2ccc(C(O)(c3ccc(Cl)cc3)c3cncn3C)cc2c(Cl)c1Cc1ccc(-n2cccn2)cc1,BrB(Br)Br.O,Cn1cncc1C(O)(c1ccc(Cl)cc1)c1ccc2nc(O)c(Cc3ccc(-n4cccn4)cc3)c(Cl)c2c1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Nc1ccc(S(=O)(=O)c2cccc(OC(F)(F)F)c2)cc1.O=C(Cl)C=Cc1cccnc1,,O=C(C=Cc1cccnc1)Nc1ccc(S(=O)(=O)c2cccc(OC(F)(F)F)c2)cc1,train
Boc_deprotection,CC(C)(C)OC(=O)NC1CCC(Nc2nccn3c(-c4cccc(NCc5ccsc5)n4)cnc23)CC1,[H+],NC1CCC(Nc2nccn3c(-c4cccc(NCc5ccsc5)n4)cnc23)CC1,train
Mitsunobu,CC(C)(C)OC(=O)N1CCC(CO)CC1.O=c1[nH]c2ccc(Br)cc2s1,c1ccc(P(c2ccccc2)c2ccccc2)cc1.CCOC(=O)N=NC(=O)OCC,CC(C)(C)OC(=O)N1CCC(Cn2c(=O)sc3cc(Br)ccc32)CC1,train
DCC_condensation,CC1(COc2cc(F)c(C(=O)O)cc2C2CC2)CCC(F)(F)CC1.CNS(N)(=O)=O,C(=NC1CCCCC1)=NC1CCCCC1,CNS(=O)(=O)NC(=O)c1cc(C2CC2)c(OCC2(C)CCC(F)(F)CC2)cc1F,train
DCC_condensation,CCCC(N)C(=O)Nc1cnccn1.CC(C)C(O)C(=O)O,C(=NC1CCCCC1)=NC1CCCCC1,CCCC(NC(=O)C(O)C(C)C)C(=O)Nc1cnccn1,train
DCC_condensation,Cc1cc(Cl)ccc1C(N)CC(C)C.O=C(O)Cc1ccc(O)cc1,C(=NC1CCCCC1)=NC1CCCCC1,Cc1cc(Cl)ccc1C(CC(C)C)NC(=O)Cc1ccc(O)cc1,train
DCC_condensation,CC1CC(C(=O)O)N(C(=O)OC(C)(C)C)C1.Nc1cc(Br)cnc1N,C(=NC1CCCCC1)=NC1CCCCC1,CC1CC(C(=O)Nc2cc(Br)cnc2N)N(C(=O)OC(C)(C)C)C1,train
DCC_condensation,O=C(O)c1cncc2c1cnn2-c1ccc(F)cc1.CS(=O)(=O)c1cc(CN)ccn1,C(=NC1CCCCC1)=NC1CCCCC1,CS(=O)(=O)c1cc(CNC(=O)c2cncc3c2cnn3-c2ccc(F)cc2)ccn1,train
DCC_condensation,Cc1nc(N2CCN(Cc3ccc(C(F)(F)F)cc3)C2=O)sc1C(=O)O.NCc1ccccc1,C(=NC1CCCCC1)=NC1CCCCC1,Cc1nc(N2CCN(Cc3ccc(C(F)(F)F)cc3)C2=O)sc1C(=O)NCc1ccccc1,train
Boc_deprotection,CCC1CN(C(=O)OC(C)(C)C)CCN1C(=O)OCc1c(F)cccc1F,[H+],CCC1CNCCN1C(=O)OCc1c(F)cccc1F,train
SN2_alcohol(thiol),CCc1ccc(-c2snc(Cl)c2COS(C)(=O)=O)cc1.CCOC(=O)CCc1ccc(O)c(C)c1C,[H-].[Na+],CCOC(=O)CCc1ccc(OCc2c(Cl)nsc2-c2ccc(CC)cc2)c(C)c1C,train
DCC_condensation,COc1cc(C(=O)O)c([N+](=O)O)c(F)c1OC.N,C(=NC1CCCCC1)=NC1CCCCC1,COc1cc(C(N)=O)c([N+](=O)O)c(F)c1OC,train
SN2_alcohol(thiol),NC(=O)C1(C(=O)N(c2ccccc2)c2ccc(Oc3ccnc4cc(O)ccc34)c(F)c2)CC1.CS(=O)(=O)OCCCC1(O)CC1,[H-].[Na+],NC(=O)C1(C(=O)N(c2ccccc2)c2ccc(Oc3ccnc4cc(OCCCC5(O)CC5)ccc34)c(F)c2)CC1,train
SN2_alcohol(thiol),CCOC(=O)c1cn2c(cc1=O)-c1cc(OC)c(O)cc1CC2CC.COCCCBr,[H-].[Na+],CCOC(=O)c1cn2c(cc1=O)-c1cc(OC)c(OCCCOC)cc1CC2CC,train
alcohol_attack_to_carbonyl_or_sulfonyl,O=C(O)C(O)Cc1ccccc1.CC(=O)Cl,[H-].[Na+],CC(=O)OC(Cc1ccccc1)C(=O)O,train
Swern_oxidation,OCc1csc(-c2ccccn2)n1,O=C(Cl)C(=O)Cl.CS(C)=O.CCN(CC)CC,O=Cc1csc(-c2ccccn2)n1,train
SN2_alcohol(thiol),CCOC(=O)c1sc(-c2ccc(O)c(C#N)c2)nc1C.CC(C)CBr,[H-].[Na+],CCOC(=O)c1sc(-c2ccc(OCC(C)C)c(C#N)c2)nc1C,train
DCC_condensation,CC(C)C(N)C(=O)N1CCC(Oc2ccc(C(F)(F)F)nc2)CC1.O=C(O)c1nc2ccccc2nc1O,C(=NC1CCCCC1)=NC1CCCCC1,CC(C)C(NC(=O)c1nc2ccccc2nc1O)C(=O)N1CCC(Oc2ccc(C(F)(F)F)nc2)CC1,train
SN2,O=C1Nc2ccccc2C12COc1cc3c(cc12)OCCO3.BrCc1nc2ccccc2s1,,O=C1N(Cc2nc3ccccc3s2)c2ccccc2C12COc1cc3c(cc12)OCCO3,train
Boc_deprotection,CC(C)(C)OC(=O)N1CCc2cc3nccnc3cc2CC1,[H+],c1cnc2cc3c(cc2n1)CCNCC3,train
Mitsunobu,Cc1c(O)cn2ncnc(Oc3ccc([N+](=O)O)cc3F)c12.CN1CCN(CCO)CC1,c1ccc(P(c2ccccc2)c2ccccc2)cc1.CCOC(=O)N=NC(=O)OCC,Cc1c(OCCN2CCN(C)CC2)cn2ncnc(Oc3ccc([N+](=O)O)cc3F)c12,train
Boc_deprotection,CN(C(=O)C(F)(F)F)C1CCc2cc(N3CCC(NC(=O)OC(C)(C)C)C3=O)ccc21,[H+],CN(C(=O)C(F)(F)F)C1CCc2cc(N3CCC(N)C3=O)ccc21,train
O_demethylation,COc1ccc(-n2c(-c3ccc[nH]3)nc3ccccc32)cc1,BrB(Br)Br.O,Oc1ccc(-n2c(-c3ccc[nH]3)nc3ccccc32)cc1,train
ester_reduction,CCOC(=O)c1cn(COCc2ccccc2)nc1OCc1ccccc1,[AlH4-].[AlH4-].[H+],OCc1cn(COCc2ccccc2)nc1OCc1ccccc1,train
SN2,COc1cc(NCCCCCCN2CCNCC2)c2nccc(C)c2c1.OCC(O)CCl,,COc1cc(NCCCCCCN2CCN(CC(O)CO)CC2)c2nccc(C)c2c1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CCOC(=O)c1nccn1C1Cc2c(C#N)cccc2C1=O.N,,N#Cc1cccc2c1CC(n1ccnc1C(N)=O)C2=O,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CCOC(=O)c1onc(O)c1CC(N)C(=O)OCC.CC(C)(C)OC(=O)OC(=O)OC(C)(C)C,,CCOC(=O)c1onc(O)c1CC(NC(=O)OC(C)(C)C)C(=O)OCC,train
SN2,CCCC(C)Nc1ccccc1.CCCCCCCBr,,CCCCCCCN(c1ccccc1)C(C)CCC,train
Boc_deprotection,CC(C)(C)OC(=O)NCCC(=O)N(CC(=O)NCc1ccc(C(=O)OCC#N)c(O)c1)CC(=O)NCc1ccc(C(=O)OCC#N)c(O)c1,[H+],N#CCOC(=O)c1ccc(CNC(=O)CN(CC(=O)NCc2ccc(C(=O)OCC#N)c(O)c2)C(=O)CCN)cc1O,train
DCC_condensation,COc1ccc(OC)c(C(=O)O)c1.CCNCC,C(=NC1CCCCC1)=NC1CCCCC1,CCN(CC)C(=O)c1cc(OC)ccc1OC,train
SN2_alcohol(thiol),CCOC(=O)CC1OC(c2ccc(O)cc2OC)c2cc(Cl)ccc2N(CC(C)(C)C)C1=O.CCI,[H-].[Na+],CCOC(=O)CC1OC(c2ccc(OCC)cc2OC)c2cc(Cl)ccc2N(CC(C)(C)C)C1=O,train
reductive_amination,O=Cc1cccc(Oc2cccc(C(F)(F)F)c2)c1.CC(C)C(=O)Nc1cccc(C2CCNCC2)c1,[H+].[BH3-]C#N.[Na+],CC(C)C(=O)Nc1cccc(C2CCN(Cc3cccc(Oc4cccc(C(F)(F)F)c4)c3)CC2)c1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Cc1ccc(NN)cc1.CC(=O)OC(C)=O,,CC(=O)NNc1ccc(C)cc1,train
alcohol_attack_to_carbonyl_or_sulfonyl,CC(C)CC(O)CCc1cccs1.CS(=O)(=O)Cl,[H-].[Na+],CC(C)CC(CCc1cccs1)OS(C)(=O)=O,train
DCC_condensation,NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1.COC(C)C(=O)O,C(=NC1CCCCC1)=NC1CCCCC1,COC(C)C(=O)NC1CCC(CCN2CCN(c3nccc4c3CCO4)CC2)CC1,train
SN2_alcohol(thiol),CCOC(CBr)OCC.Oc1ccc(Cl)cc1,[H-].[Na+],CCOC(COc1ccc(Cl)cc1)OCC,train
Boc_deprotection,CC(O)c1cccc2c1C1(CCN(Cc3ccccc3)CC1)CN2C(=O)OC(C)(C)C,[H+],CC(O)c1cccc2c1C1(CCN(Cc3ccccc3)CC1)CN2,train
nucleophilic_attack_to_iso(thio)cyanate,COc1cc2ncnc(C3CCNCC3)c2cc1OC.O=C=Nc1ccc(OC(F)(F)F)cc1,,COc1cc2ncnc(C3CCN(C(=O)Nc4ccc(OC(F)(F)F)cc4)CC3)c2cc1OC,train
SN2_alcohol(thiol),CCOC(=O)N1CCN(C(=O)C(CCO)NC(=O)c2cc(OC3CCCC3)nc(-c3ccccc3)n2)CC1.CCOC(=O)CBr,[H-].[Na+],CCOC(=O)COCCC(NC(=O)c1cc(OC2CCCC2)nc(-c2ccccc2)n1)C(=O)N1CCN(C(=O)OCC)CC1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,COC(=O)c1cc(C)n2ccnc2n1.NCc1ccc(F)c(F)c1,,Cc1cc(C(=O)NCc2ccc(F)c(F)c2)nc2nccn12,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,C#CC(C)(C)NCC1OC(C)C(C)O1.CC(Br)C(=O)Cl,,C#CC(C)(C)N(CC1OC(C)C(C)O1)C(=O)C(C)Br,train
SN2,CCOc1cc2nc(-c3cccc(C(F)(F)F)c3)c(CBr)c(C(=O)OC)c2cc1S(=O)(=O)CC.C1CC(N2CCOCC2)CCN1,,CCOc1cc2nc(-c3cccc(C(F)(F)F)c3)c(CN3CCC(N4CCOCC4)CC3)c(C(=O)OC)c2cc1S(=O)(=O)CC,train
DCC_condensation,CC(C)(C)OC(=O)N1CCC(=C(C(=O)O)c2ccccc2)CC1.NN,C(=NC1CCCCC1)=NC1CCCCC1,CC(C)(C)OC(=O)N1CCC(=C(C(=O)NN)c2ccccc2)CC1,train
DCC_condensation,CC(C)c1cccc2c1OC(C(C)C)C(=S)N2CC(=O)O.COC(=O)C(C)O,C(=NC1CCCCC1)=NC1CCCCC1,COC(=O)C(C)OC(=O)CN1C(=S)C(C(C)C)Oc2c(C(C)C)cccc21,train
DCC_condensation,CC(C)(C)OC(=O)NC(CC(=O)N1CCSC1C(=O)O)Cc1cc(F)c(F)cc1F.CCOC(=O)C(Oc1ccc2c(c1)CNCC2)C(C)C,C(=NC1CCCCC1)=NC1CCCCC1,CCOC(=O)C(Oc1ccc2c(c1)CN(C(=O)C1SCCN1C(=O)CC(Cc1cc(F)c(F)cc1F)NC(=O)OC(C)(C)C)CC2)C(C)C,train
DCC_condensation,Cc1cccc(N(CC(=O)O)S(=O)(=O)c2ncccc2C)c1.CCNCc1cccc(C)n1,C(=NC1CCCCC1)=NC1CCCCC1,CCN(Cc1cccc(C)n1)C(=O)CN(c1cccc(C)c1)S(=O)(=O)c1ncccc1C,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,O=S(=O)(Cl)C1CCCCC1.NCc1ccco1,,O=S(=O)(NCc1ccco1)C1CCCCC1,train
DCC_condensation,NCC(=O)N1CCN(C(=O)c2ccccc2C(F)(F)F)CC1.O=Cc1ccc(C(=O)O)cc1,C(=NC1CCCCC1)=NC1CCCCC1,O=Cc1ccc(C(=O)NCC(=O)N2CCN(C(=O)c3ccccc3C(F)(F)F)CC2)cc1,train
nucleophilic_attack_to_iso(thio)cyanate,Cc1ccccc1-c1nnc(C2(N)CCCC2)n1C.O=C=Nc1ccccc1,,Cc1ccccc1-c1nnc(C2(NC(=O)Nc3ccccc3)CCCC2)n1C,train
DCC_condensation,O=C(O)c1ccc(C=Cc2n[nH]c3ccccc23)cc1.COCCN1CCNCC1=O,C(=NC1CCCCC1)=NC1CCCCC1,COCCN1CCN(C(=O)c2ccc(C=Cc3n[nH]c4ccccc34)cc2)CC1=O,train
DCC_condensation,NCC=CCOc1cc(CN2CCCCC2)ccn1.O=C(O)c1cc[nH]n1,C(=NC1CCCCC1)=NC1CCCCC1,O=C(NCC=CCOc1cc(CN2CCCCC2)ccn1)c1cc[nH]n1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CC(C)(C)c1nc2cc(S(=O)(=O)Cl)ccc2n1CC1CCOCC1.CNCCC(C)C,,CC(C)CCN(C)S(=O)(=O)c1ccc2c(c1)nc(C(C)(C)C)n2CC1CCOCC1,train
SN2,CCC(Br)C(=O)N1N=C(c2cc(F)ccc2F)CC1(C)c1ccccc1.CN1CCNCC1,,CCC(C(=O)N1N=C(c2cc(F)ccc2F)CC1(C)c1ccccc1)N1CCN(C)CC1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CC(C)(C)OC(=O)N(CCc1ccc(Oc2ccc(N)cc2)cc1)Cc1ccccc1.O=C(Cl)c1ccccc1,,CC(C)(C)OC(=O)N(CCc1ccc(Oc2ccc(NC(=O)c3ccccc3)cc2)cc1)Cc1ccccc1,train
Boc_deprotection,CC(C)(C)OC(=O)NC(CO)Cc1ccc(OCc2ccccc2)cc1,[H+],NC(CO)Cc1ccc(OCc2ccccc2)cc1,train
alcohol_attack_to_carbonyl_or_sulfonyl,OCc1c(Cl)cccc1C(F)(F)F.CS(=O)(=O)Cl,[H-].[Na+],CS(=O)(=O)OCc1c(Cl)cccc1C(F)(F)F,train
DCC_condensation,COc1cc2ncnc(Oc3cnc(CC(=O)O)c(OC)c3)c2cc1OC.Cc1cc(N)cc(CN(C)C)c1,C(=NC1CCCCC1)=NC1CCCCC1,COc1cc2ncnc(Oc3cnc(CC(=O)Nc4cc(C)cc(CN(C)C)c4)c(OC)c3)c2cc1OC,train
DCC_condensation,NC1CCN(Cc2ccc(Cl)c(Cl)c2)CC1.COC(=O)c1ccc(CCC(=O)O)cc1,C(=NC1CCCCC1)=NC1CCCCC1,COC(=O)c1ccc(CCC(=O)NC2CCN(Cc3ccc(Cl)c(Cl)c3)CC2)cc1,train
alcohol_attack_to_carbonyl_or_sulfonyl,O=C(c1csc(N2CC(O)C2)n1)N1CCOCC1.CS(=O)(=O)Cl,[H-].[Na+],CS(=O)(=O)OC1CN(c2nc(C(=O)N3CCOCC3)cs2)C1,train
Boc_deprotection,CC(C)(C)OC(=O)N1CC=C(c2cc3c(Nc4ccc5[nH]nc(Cl)c5c4)ncnc3[nH]2)CC1,[H+],Clc1n[nH]c2ccc(Nc3ncnc4[nH]c(C5=CCNCC5)cc34)cc12,train
reductive_amination,CC(C)(C)OC(=O)NC(COc1cncc(-c2ccc(C=O)cc2)c1)Cc1c[nH]c2ccccc12.Nc1ccccc1,[H+].[BH3-]C#N.[Na+],CC(C)(C)OC(=O)NC(COc1cncc(-c2ccc(CNc3ccccc3)cc2)c1)Cc1c[nH]c2ccccc12,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,COc1ccc(CNc2nccs2)cc1.O=[N+](O)c1ccc(S(=O)(=O)Cl)cc1F,,COc1ccc(CN(c2nccs2)S(=O)(=O)c2ccc([N+](=O)O)c(F)c2)cc1,train
reductive_amination,Cc1nc(OCCCC=O)nc2c1ccc(=O)n2C.Fc1ccc2cccc(N3CCNCC3)c2c1,[H+].[BH3-]C#N.[Na+],Cc1nc(OCCCCN2CCN(c3cccc4ccc(F)cc34)CC2)nc2c1ccc(=O)n2C,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,O=C(OC(=O)C(F)(F)F)C(F)(F)F.Nc1cc([N+](=O)O)ccc1Cl,,O=C(Nc1cc([N+](=O)O)ccc1Cl)C(F)(F)F,train
DCC_condensation,Cc1ccc(C(=O)O)c(=O)n1-c1ccccc1.COc1ccc(CN)cc1,C(=NC1CCCCC1)=NC1CCCCC1,COc1ccc(CNC(=O)c2ccc(C)n(-c3ccccc3)c2=O)cc1,train
Boc_deprotection,CCOc1ccc(S(=O)(=O)N(Cc2ccc(C(=O)NC3C4CN(C(=O)OC(C)(C)C)CC43)cc2)Cc2ccccn2)cc1,[H+],CCOc1ccc(S(=O)(=O)N(Cc2ccc(C(=O)NC3C4CNCC43)cc2)Cc2ccccn2)cc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Cn1nnnc1-c1cccc(N)c1.O=C(Cl)Oc1ccccc1,,Cn1nnnc1-c1cccc(NC(=O)Oc2ccccc2)c1,train
DCC_condensation,O=C(O)c1cc2cc(C(=O)N3CCN(C4CCCC4)CC3)ccc2[nH]1.C1CSCCN1,C(=NC1CCCCC1)=NC1CCCCC1,O=C(c1ccc2[nH]c(C(=O)N3CCSCC3)cc2c1)N1CCN(C2CCCC2)CC1,train
Mitsunobu,CON=C(COc1ccc(CO)cc1)c1ccccc1.CCCC(CC(=O)OC)c1ccc(O)cc1,c1ccc(P(c2ccccc2)c2ccccc2)cc1.CCOC(=O)N=NC(=O)OCC,CCCC(CC(=O)OC)c1ccc(OCc2ccc(OCC(=NOC)c3ccccc3)cc2)cc1,train
aldol_condensation,Cc1c(C=O)[nH]c2c1C(=O)N(CCN(C)C)CCC2.O=C1Cc2c(cccc2-c2cccc(F)c2)N1,[OH-],Cc1c(C=C2C(=O)Nc3cccc(-c4cccc(F)c4)c32)[nH]c2c1C(=O)N(CCN(C)C)CCC2,train
SN2,NC1CCC(Nc2cc(-c3cc(NCC4CCOCC4)cnc3Cl)c(Cl)cn2)CC1.CS(=O)(=O)OCC1CCCO1,,Clc1cnc(NC2CCC(NCC3CCCO3)CC2)cc1-c1cc(NCC2CCOCC2)cnc1Cl,train
Boc_deprotection,COC(=O)c1nc(C(F)(F)F)n2c1C(C)N(C(=O)CC(Cc1cc(F)c(F)cc1F)NC(=O)OC(C)(C)C)CC2,[H+],COC(=O)c1nc(C(F)(F)F)n2c1C(C)N(C(=O)CC(N)Cc1cc(F)c(F)cc1F)CC2,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,N#Cc1c(Oc2ccc(F)c(NC(=O)C(F)(F)F)c2)ccc2nc(N)sc12.CC(=O)Cl,,CC(=O)Nc1nc2ccc(Oc3ccc(F)c(NC(=O)C(F)(F)F)c3)c(C#N)c2s1,train
SNAr(ortho),O=S(=O)(c1cccc(Cl)c1)C1CCNCC1.O=[N+](O)c1cccnc1Cl,,O=[N+](O)c1cccnc1N1CCC(S(=O)(=O)c2cccc(Cl)c2)CC1,train
SN2,O=C1Nc2cc3c(cc2C1=O)OCCO3.FC(F)(F)c1ccc(CBr)o1,,O=C1C(=O)N(Cc2ccc(C(F)(F)F)o2)c2cc3c(cc21)OCCO3,train
SN2,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2cccc(Cl)c2)C(C(=O)NCCNCC(N)=O)C1.COc1ccccc1CCl,,CCCCCN(CCCCC)C(=O)N1CCN(C(=O)N(c2ccccc2)c2cccc(Cl)c2)C(C(=O)NCCN(CC(N)=O)Cc2ccccc2OC)C1,train
DCC_condensation,NC1CCCC1Nc1cnc(C(F)(F)F)cn1.Cc1ccc(-n2ccnn2)c(C(=O)O)c1,C(=NC1CCCCC1)=NC1CCCCC1,Cc1ccc(-n2ccnn2)c(C(=O)NC2CCCC2Nc2cnc(C(F)(F)F)cn2)c1,train
DCC_condensation,O=C(O)c1ccc(-c2cn3c(I)cnc3cn2)cc1.C1COCCN1,C(=NC1CCCCC1)=NC1CCCCC1,O=C(c1ccc(-c2cn3c(I)cnc3cn2)cc1)N1CCOCC1,train
SNAr(para),NCc1ccc(-c2cn(S(=O)(=O)c3ccccc3)c3ncnc(N)c23)cc1.N#Cc1cnc(F)c(-c2ncco2)c1,,N#Cc1cnc(NCc2ccc(-c3cn(S(=O)(=O)c4ccccc4)c4ncnc(N)c34)cc2)c(-c2ncco2)c1,train
SN2,COc1cc2ncnc(N3CCC(n4c(=O)[nH]c5ccc([N+](=O)O)cc5c4=O)CC3)c2cc1OC.O=[N+](O)c1ccc(CBr)cc1,,COc1cc2ncnc(N3CCC(n4c(=O)c5cc([N+](=O)O)ccc5n(Cc5ccc([N+](=O)O)cc5)c4=O)CC3)c2cc1OC,train
DCC_condensation,O=C(NCc1nc2cc(Cl)ccc2[nH]1)c1ccc(C(=O)O)c(Cl)c1.CC1CCCN1,C(=NC1CCCCC1)=NC1CCCCC1,CC1CCCN1C(=O)c1ccc(C(=O)NCc2nc3cc(Cl)ccc3[nH]2)cc1Cl,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,COc1ccc(CN(c2ncns2)S(=O)(=O)c2ccc3c(c2)NCCN3c2ccc(C(F)(F)F)cc2Cl)c(OC)c1.CC(=O)OC(C)=O,,COc1ccc(CN(c2ncns2)S(=O)(=O)c2ccc3c(c2)N(C(C)=O)CCN3c2ccc(C(F)(F)F)cc2Cl)c(OC)c1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Cc1ccc2c(c1)nc(-c1cc(N)ccc1Cl)n2C.COC(=O)Cl,,COC(=O)Nc1ccc(Cl)c(-c2nc3cc(C)ccc3n2C)c1,train
Boc_deprotection,CC(C)C(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(COc2cc3c(c4ccccc24)C(CCl)CN3C(=O)OC(C)(C)C)cc1,[H+],CC(C)C(NC(=O)OCC1c2ccccc2-c2ccccc21)C(=O)NC(CCCNC(N)=O)C(=O)Nc1ccc(COc2cc3c(c4ccccc24)C(CCl)CN3)cc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Cc1cc(COc2ccc(N)cc2)c2ccccc2n1.CCC1(CS(=O)(=O)Cl)NC(=O)NC1=O,,CCC1(CS(=O)(=O)Nc2ccc(OCc3cc(C)nc4ccccc34)cc2)NC(=O)NC1=O,train
SN2,CC(C)CN1C(=O)NC2(CCN(C(=O)OC(C)(C)C)CC2)C1=O.FC(F)(F)Oc1ccc(CBr)cc1,,CC(C)CN1C(=O)N(Cc2ccc(OC(F)(F)F)cc2)C2(CCN(C(=O)OC(C)(C)C)CC2)C1=O,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CC(C)(C)OC(=O)N1CCN(C2CCNCC2)CC1.O=C(Cl)OCc1ccccc1,,CC(C)(C)OC(=O)N1CCN(C2CCN(C(=O)OCc3ccccc3)CC2)CC1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,O=C(Cl)c1ccccc1-c1ccc(C(F)(F)F)cc1.Nc1ccc(CCc2ccccn2)nc1,,O=C(Nc1ccc(CCc2ccccn2)nc1)c1ccccc1-c1ccc(C(F)(F)F)cc1,train
SN2_alcohol(thiol),CCOC(Cc1ccc(O)cc1Cl)C(=O)OC.Cc1oc(C(C)(C)C)nc1CCl,[H-].[Na+],CCOC(Cc1ccc(OCc2nc(C(C)(C)C)oc2C)cc1Cl)C(=O)OC,train
ester_reduction,CCOC(=O)C=Cc1cccc(Br)c1,[AlH4-].[AlH4-].[H+],OCC=Cc1cccc(Br)c1,train
Boc_deprotection,Cc1ccc(NC(=O)OC(C)(C)C)cc1Nc1ccc2ncn(C)c(=O)c2c1,[H+],Cc1ccc(N)cc1Nc1ccc2ncn(C)c(=O)c2c1,train
SN2_alcohol(thiol),ClCc1csc(-c2ccccc2)n1.O=[N+](O)c1ccccc1O,[H-].[Na+],O=[N+](O)c1ccccc1OCc1csc(-c2ccccc2)n1,train
DCC_condensation,NS(=O)(=O)c1cc(C(=O)O)cc(N2CCCC2)c1Oc1ccccc1.c1ccc(CNCc2ccccc2)cc1,C(=NC1CCCCC1)=NC1CCCCC1,NS(=O)(=O)c1cc(C(=O)N(Cc2ccccc2)Cc2ccccc2)cc(N2CCCC2)c1Oc1ccccc1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,CCCCCCN1CCc2c1cc(C)c(N)c2C.CC(C)(C)C(=O)Cl,,CCCCCCN1CCc2c1cc(C)c(NC(=O)C(C)(C)C)c2C,train
DCC_condensation,CCOC(=O)C1(C(=O)O)CC1.Nc1ccccc1,C(=NC1CCCCC1)=NC1CCCCC1,CCOC(=O)C1(C(=O)Nc2ccccc2)CC1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,Nc1ccc(Cl)cc1C(=O)NCC1CCCCC1.O=C(Cl)c1cccc(F)c1F,,O=C(NCC1CCCCC1)c1cc(Cl)ccc1NC(=O)c1cccc(F)c1F,train
SN2_alcohol(thiol),O=[N+](O)c1cc(F)ccc1O.CCCI,[H-].[Na+],CCCOc1ccc(F)cc1[N+](=O)O,train
SN2_alcohol(thiol),Oc1ccc(I)cc1.BrCC1CO1,[H-].[Na+],Ic1ccc(OCC2CO2)cc1,train
SN2,Fc1cccc(F)c1-c1nc2c(Br)n[nH]c2c2ccc(I)cc12.C[Si](C)(C)CCOCCl,,C[Si](C)(C)CCOCn1nc(Br)c2nc(-c3c(F)cccc3F)c3cc(I)ccc3c21,train
SNAr(para),O=Cc1ccc(F)c(F)c1.Cc1c[nH]cn1,,Cc1cn(-c2ccc(C=O)cc2F)cn1,train
nucleophilic_attack_to_(thio)carbonyl_or_sulfonyl,COC(=O)c1ccc(OCF)cc1.NN,,NNC(=O)c1ccc(OCF)cc1,train
